,F,T,S,E
0,61,17,2,125_92_162_125_3_91_91_92_92_51_125_125_162_162_91_91_92_92_125_125_125_50_162_125_50_50_92_51_2
1,12,4,3,90_4_90_4
2,95,24,6,5_5_109_5_188_5_5_109_5_109_5_109_5_109_5_109_5_109_5_188_5_109_5_109_5_5_5_5_109_5_5_5_7_7_103_7_5
3,54,20,9,116_116_142_142_68_67_68_68_142_9_68_68_9
4,1171,24,12,123_95_32_32_119_119_168_167_167_167_65_118_168_56_238_238_238_238_238_56_56_56_238_238_56_167_167_167_167_167_66_66_167_66_96_96_118_96_117_117_167_167_167_1288_1288_95_144_113_73_96_96_96_118_1288_73_74_72_73_113_73_79_1288_123_1288_97_70_79_79_110_76_76_111_15_15_15_15_146_146_15_15_146_15_15_15_76_76_70_13_13_110_15_76_15_146_15_110_69_95_123_97_95_79_70_95_13_123_95_70_95_95_1288_123_123_95_97_96_97_117_118_117_96_167_167_167_167_167_168_168_167_117_117_118_169_168_168_58_167_167_167_167_168_168_105_105_56_57_105_57_56_105_105_167_167_118_96_95_79_79
5,3,2,13,
6,4,4,17,18_18_18_18_17
7,73,21,25,443_376_25_85_443_443_127_376_443_376_443_443_443_376_84_85_85_376_443_443_443_127_376_127_25_25_376_127_25
8,1,1,27,277_27
9,2657,24,28,394_456_459_459_1377_321_321_400_400_410_321_321_271_262_271_403_384_402_134_29_456_89_452_404_412_459_459_456_455_134_455_434_430_430_316_436_341_436_316_316_430_430_430_1297_428_428_427_425_402_271_262_271_262_384_271_271_384_383_383_383_265_383_383_383_265_383_383_383_266_321_434_434_404_434_396_396_452_436_459_436_312_459_436_406_407_394_322_321_400_400_271_403_403_271_271_271_384_271_271_400_428_428_428_428_428_428_428_324_321_400_403_262_271_261_262_271_412_321_321_411_424_427_428_329_427_1377_1377_1297_320_320_320_1377_320_1377_320_320_1377_316_436_436_436_345_345_1377_1377_320_320_434_312_28_28_412_412_331_434_434_434_341_28_401_324_262_271_262_271_402_330_400_330_271_330_402_320_436_316_345_436_436_456_459_459_333_333_28_412_412_394_412_333_328
10,7,5,32,32_32_32_32
11,3,3,33,99_99_99_33
12,67,24,34,161_161_161_161_161_161_161_161_99_99_99_99_33
13,103,24,35,156_156_156_156_154_156_155_156_156_154_154_156_35_35_154_154_156_156_154_156_156
14,25,9,39,380_380_380_380_380_43_380_380_380_380_42_41_40_39
15,145,24,47,152_151_49_152_152_152_163_90_163_152_37_151_152_49_49_47_152_47_49_37_151_114_151_49_47_47_49_152_47_152_152_47_165_164_164_164_113_113_37_37_37_49_47_49_152_47_152_47
16,109,23,54,55_159_157_54_55_157_157_54_158_55_158_159_159_157_159_157_158_158_159_158_54
17,41,16,83,83_93_83_93_93_100_93_93
18,61,24,87,131_87_415_416_416_87_277_87_277_87_87_87_87_87_379_277_277_379_277
19,1,1,94,94
20,9,7,98,98
21,141,24,102,101_101_101_101_139_139_140_140_138_138_139_120_101_120_120_139_140_140_139_138_138_139_139_120_139_139_140_138_138_101_120_140_121_139_120_101_120_120_139_120_120_140_141_140_139_138_120_120_120_120_139_120_120_120_101_102
22,175,24,106,235_108_183_239_107_234_234_233_234_234_235_234_233_239_239_108_108_106_234_234_234
23,2,2,116,116
24,7,7,128,128
25,11,3,129,414_413_437_441_129
26,9,9,133,133
27,22,22,135,135
28,13,8,148,164_149_149_149_148
29,5,5,150,150
30,2,2,158,
31,1,1,162,162
32,15,8,164,164_165
33,3,3,169,169
34,2,2,173,227_227_173
35,275,24,178,202_179_242_241_205
36,1,1,179,179
37,460,24,181,189_189_189_189_189_189_189_189_189_190_190_191_190_186_181_181_247_247_186_186_246_192_194_246_246_186_195_195_186_186_194_194_194_247_195_247_195_186_186_186_186_186_196_189_190_186
38,5,5,185,185
39,22,12,208,208_252
40,923,24,217,948_813_811_885_887_219_219_783_885_219_219_783_784_219_824_783_885_987_987_887_887_887_885_824_824_813_808_814_814_948_812_948_813_763_812_759_917_970_970_970_970_1356_918_1355_1355_1356_1380_970_970_941_944_944_942_942_970_1380_970_970_1356_1356_758_1380_1380_970_758_941_1356_918_945_759_917_759_1355_1355_1355_970_758_941_1355_216_812_216_216_218_764_764_763_763_216_216_784_783_885_888_887_987_763_814_215_215_215_216_215_216_811_813_814_216_811_216_824_824_824_783_783_221_220_220_824_824_784_220_783_891_891_892_892_891_1298_909_1298_909_892_891_783_888_887_885_764_950_950_950_811
41,16,9,222,223_223_1385_1385_1384_1385_1385_1384_223_223_223_223_222
42,1,1,225,225
43,1,1,226,226
44,45,24,228,227_227_227_227_227_227_227_227_227_227_227_800_800_227_227_800_800_839_799_799_800_839_839_227_227_227_227_227_227_227_227
45,1,1,235,235
46,103,24,248,1281_1281_248_248_248_252_1281_208_1281_248_248_1281_248_248_208_208_248
47,1,1,249,250_249
48,1,1,261,262_261
49,17,7,263,422_282_381_381_381_281_381_282_283_282_263
50,10,10,267,267
51,1,1,273,273
52,52,24,274,275_275_276_276_276_273_275_275_275_275_276_276
53,1,1,288,289_288
54,120,20,295,1049_1010_1010_1011_1049_294_294_1010_1011_1011_1013_1012_1033_1014_1014_1012_1011_1049_1049_295_295_1011_1012_1010_1010_1011_1012_296_296_1013_296_294_295_295_1049_1030_1032_295_1030_1049_1049
55,715,24,298,1019_1035_1035_1005_1005_1036_1034_1036_1035_1018_1018_1035_1056_1018_1018_300_299_1056_1035_297_1019_1019_1018_1056_1054_301_301_1054_1054_1054_303_303_302_302_1015_301_301_301_301_300_1051_1054_301_301_1018_1054_301_301_1054_1054_1054_1018_1018_1021_1019_301_297_297_1056_1019_1019_1056_1019_1019_297_1034_1017_1284_1017_1034_1036_1034_1017_1017_1017_1017_1034_1034_1003_1034_1006_1002_1002_1002_1034_1017_1017_1285_1017_1017_1009_1002_1002_1284_1004_1056_1019_1019_1056_1019_1019_1036_1019_1056_298
56,4,3,303,302_303
57,2,2,305,306_306_305
58,16,10,309,43_43_308_310_310_309_310_309_309_310_43_309
59,2,2,310,310
60,1,1,311,311
61,4,2,335,338_335
62,1,1,340,340
63,1160,24,347,746_746_350_746_347_347_350_350_746_746_647_647_347_584_347_746_647_647_347_444_444_347_647_746_451_558_743_451_664_576_1302_1302_576_668_668_1300_1300_1301_1301_479_480_1300_1301_559_594_594_594_1316_445_447_447_1317_447_690_647_649_746_349_502_738_738_738_738_738_738_738_665_738_737_349_349_652_652_651_651_347_347_444_690_1317_447_444_445_447_445_690_347_347_444_444_690_445_447_445_743_664_564_564_350_350_557_1301_1301_479_664_451_564_353_447_350_747_444_445_445_690_444_350_449_451_564_451_451_451_743_351_351_350_444_444_447_449_559_479_1302_479_480_479_478_479_479_664_576_576_557_350_351_351_353_451_560_451_351_351_350_350_651_652_652_737_737_665_738_625_501_501_501_502_502_738_665_738_746_652_651_349_737_652_651_651_746_349_651_582_583_582_582_582_582_582_582_582_647_648_652_651_652_652_347_647_647_444
64,129,24,354,562_562_562_562_562_563_561_562_355_355_562_356_355_355_356_355_355_562_562_355
65,1,1,356,356
66,8,5,358,1359_358_1359
67,2188,24,360,655_603_655_603_361_1312_1289_1289_363_363_1289_548_1289_363_1289_1289_548_548_362_655_361_670_670_365_545_721_1290_721_555_546_638_638_1290_721_555_741_644_646_608_687_644_685_685_1363_1363_369_661_662_533_757_608_608_662_637_637_531_531_531_637_371_637_526_616_370_370_531_531_370_525_531_525_526_528_637_637_527_646_687_646_644_644_734_1362_702_535_539_539_733_483_556_556_484_539_483_484_483_484_485_685_661_661_661_661_661_616_531_527_637_532_532_531_532_637_527_371_526_616_729_513_730_374_373_372_1276_729_729_372_1276_1276_372_729_730_372_372_729_729_372_730_513_372_729_730_730_372_1276_1276_1276_1276_1276_1276_1276_1276_1276_374_372_1276_372_730_730_372_372_374_1276_372_729_372_540_539_484_539_699_699_541_541_540_540_734_698_484_698_722_685_750_750_685_685_750_750_750_750_538_750_538_487_757_662_527_528_487_535_535_535_703_488_488_487_535_703_703_702_700_1363_701_734_734_702_702_701_701_1358_1363_1362_485_687_687_687_369_662_698_698_750_722_722_722_698_698_483_484_484_539_555_556_556_540_740_740_540_540_540_740_699_541_541_740_540_700_1358_700_734_702_703_702_703_1363_1362_528_616_532_616_616_616_637_526_526_637_525_616_533_528_528_698_698_739_483_483_539_484_700_701_700_1362_700_702_702_701_734_556_556_702_535_703_487_533_535_487_532_662_733_1363_1362_703_714_702_702_700_701_484_539_685_646_646_643_645_733_734_539_540_540_740_740_721_547_1291_1290_1291_1290_546_721_1289_1289_638_542_542_1289_638_740_547_546_721_554_719_752_674_752_753_670_670_550_551_362_362_363_363_551_553_1309_1308_676_1308_1308_675_719_719_752_365_553_553_753_753_752_552_552_752_1309_1309_1308_1308_674_752_718_717_1308_675_675_675_752_553_718_1308_674_554_363_363_363_670_670_552_551_553_638_555_555_483_721_721_554_1312_1312_548_1289_1289_638_638_721_556_556_556_1290_721_542_547_547_546_546_1290_1291_1291_753_719_719_675_473_753_753_752_675_675_1308_675_1308_752_675_675_1308_718_548_548_549_1289_1312_361_670_552_671_674_719_718_719_718_1291_1291_1290_547_546_741_740_547_544_721_546_553_552_552_551_551_362_655_670_670_551_1312_1312_1312_363_655_655_360_632
68,3,3,374,1276
69,2,2,392,393_391_392
70,1,1,399,417_399
71,5,3,415,416_416_415
72,457,24,460,489_489_461_677_463_489_290_290_460_290_464_460_503_503_503_504_503_503_504_1370_1370_1370_713_1370_1370_1370_713_713_466_466_465_678_678_503_1370_678_466_466_465_677_503_504_678_1370_1370_713_466_678_503_503_504_678_503_504_677_678_489_460_460_677_677_464_461_464_460_460_490_489_464_464_677_461_510_489_510_489_460_489_290_290_464_677_489_489_464_678
73,206,24,467,469_467_653_653_469_469_468_467_469_469_604_653_749_655_655_604_684_603_602_601_684_684_655_655_604_748_748_749_604_604_604_749_604_749_749_604_604_749_749_604_604_653_602_684_602_602_684_360_360_632_603_655_360_603_603_603_655_653_467_653_469
74,6,2,472,754_753_671_472
75,4,3,474,657_656_473_473_474
76,428,24,475,1172_1173_1172_475_1242_1172_1172_1172_1163_1170_1163_1169_1280_1279_1166_1186_1164_1166_1166_1165_1166_1169_1168_1167_1167_1166_1280_1186_1166_1164_1164_1279_1279_1158_1138_1168_1167_1168_1158_1169_1168_1159_1160_1243_1160_1159_1243_1158_1158_1164_1279_1279_1158_1158_1243_1243_1160_1159_1159_1186_1158_1279_1159_1160_1243_1243_1159_1158_1166_1138_1167_1167_1169_1167_1138_1168_1168_1139_1139_1138_1139_1163_1242_1170_1163_1242_1242_1242_1242_475_1172_1172_475_1242_1242_475_1173_1172_477_1172_1242_1172_1242_476
77,1,1,478,478
78,6,5,480,
79,1,1,488,488
80,1,1,491,1390_491
81,1,1,496,1256_496
82,1572,24,497,523_523_522_522_708_697_590_498_709_745_744_697_697_697_695_695_592_497_579_581_581_579_565_565_572_565_579_634_581_581_580_581_572_572_697_697_565_572_579_635_635_635_635_635_635_635_634_635_635_565_572_755_623_623_623_755_573_586_623_587_623_623_587_755_697_590_590_581_565_1318_1318_579_635_634_634_581_579_565_565_712_565_565_565_590_697_697_695_697_590_590_497_523_523_522_522_709_735_735_617_617_735_735_735_617_745_619_619_500_617_617_735_622_622_622_622_621_723_710_621_622_744_745_619_619_619_500_497_590_697_697_695_578_497_710_709_681_681_744_500_744_523_523_522_708_708_681_630_1255_1255_1255_1255_679_1254_1255_706_706_630_630_707_707_707_680_1255_1255_679_1255_1255_630_680_680_707_706_706_680_707_523_709_497_590
83,6,2,503,
84,18,10,508,489_509_509_489_509_509_508
85,4,4,511,511
86,1,1,515,589_515
87,1,1,517,517
88,1,1,524,524
89,3,3,530,530
90,8,5,546,741_741_740_546
91,1,1,547,547
92,1,1,562,
93,63,24,569,692_692_692_569_692_692_692_692_692_569
94,60,24,570,571_571_571_571_571_571_571
95,1,1,572,572
96,7,5,574,574
97,2,2,590,
98,1,1,593,593
99,1,1,596,596
100,1,1,603,
101,2,2,606,742_742_606
102,45,14,611,704_641_640_704_642_642_642_704_641_642_642_642_642_642_705_705_642_641_641_642_611_641_704_704_642_642
103,1,1,616,
104,1,1,617,
105,2,2,623,
106,2,1,628,629_628
107,1,1,643,643
108,2,2,653,653
109,1,1,658,659_658
110,1,1,665,
111,10,5,668,1300_1301_667_667_668_668_1300_668
112,5,3,689,688_689
113,1,1,720,720
114,32,20,728,1257_728_640_728_728_728_728_728_1257_728
115,1,1,732,732
116,3,1,734,
117,1,1,750,750
118,1,1,754,
119,1,1,758,758
120,2,1,764,764
121,1,1,765,766_765
122,5,5,767,768_768_768_768_768_767
123,424,24,771,850_790_850_850_849_790_789_790_850_843_851_772_772_790_849_789_790_790_847_790_847_847_847_848_850_850_794_916_795_916_852_845_845_1263_1263_916_852_852_916_985_773_772_796_796_773_796_773_1388_772_851_851_771_851_851_794_1264_794_794_794_795_795_1264_1264_845_843_843_964_843_843_848_1263_1264_1388_772_796_796_796_772_796_796_851_773_851_796_772_794_852_916_794_795_845_1263_843_1263_845_843_843_1264_1263_1264_777_777_985_985_794_851_790_850_851_1389
124,72,24,774,933_933_932_932_932_774_933_933_932_775_932_775_932_932_933_933_932_933_933_775_932_933_932_932_933_774
125,4,2,777,985_777
126,8,4,778,779_966_971_971_806_806_214_779_778
127,53,21,780,873_782_780_873_780_780_781_780_873_873_782_781_781
128,1,1,784,785_784
129,5,4,786,892_785_785_785_786
130,1,1,787,831_787
131,2,2,789,790_936_789
132,1,1,794,
133,1,1,799,800_799
